Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified,Possible Mitigation(s),SDL Phase
19,An adversary can gain access to sensitive data by performing SQL injection through Web API,Tampering,Diagram 1,Request http auth,High,Not Started,,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",,Generated,"Ensure that type-safe parameters are used in Web API for data access. Refer: <a href=""https://aka.ms/tmtinputval#typesafe-api"">https://aka.ms/tmtinputval#typesafe-api</a>",Implementation
18,An adversary may inject malicious inputs into an API and affect downstream processes,Tampering,Diagram 1,Request http auth,High,Not Started,,An adversary may inject malicious inputs into an API and affect downstream processes,,Generated,"Ensure that model validation is done on Web API methods. Refer: <a href=""https://aka.ms/tmtinputval#validation-api"">https://aka.ms/tmtinputval#validation-api</a>  Implement input validation on all string type parameters accepted by Web API methods. Refer: <a href=""https://aka.ms/tmtinputval#string-api"">https://aka.ms/tmtinputval#string-api</a>",Implementation
17,An adversary may spoof Cliente / Edificio  and gain access to Web API,Spoofing,Diagram 1,Request http auth,High,Not Started,,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application ",,Generated,"Ensure that standard authentication techniques are used to secure Web APIs. Refer: <a href=""https://aka.ms/tmtauthn#authn-secure-api"">https://aka.ms/tmtauthn#authn-secure-api</a>",Design
16,An adversary can gain unauthorized access to API end points due to unrestricted cross domain requests,Spoofing,Diagram 1,Request http auth,High,Not Started,,An adversary can gain unauthorized access to API end points due to weak CORS configuration,,Generated,"Ensure that only trusted origins are allowed if CORS is enabled on ASP.NET Web API. Refer: <a href=""https://aka.ms/tmtconfigmgmt#cors-api"">https://aka.ms/tmtconfigmgmt#cors-api</a>  Mitigate against Cross-Site Request Forgery (CSRF) attacks on ASP.NET Web APIs. Refer: <a href=""https://aka.ms/tmtsmgmt#csrf-api"">https://aka.ms/tmtsmgmt#csrf-api</a>",Implementation
15,Attacker can deny a malicious act on an API leading to repudiation issues,Repudiation,Diagram 1,Request http auth,High,Not Started,,Attacker can deny a malicious act on an API leading to repudiation issues,,Generated,"Ensure that auditing and logging is enforced on Web API. Refer: <a href=""https://aka.ms/tmtauditlog#logging-web-api"">https://aka.ms/tmtauditlog#logging-web-api</a>",Design
14,An adversary can gain access to sensitive data stored in Web API's config files,Information Disclosure,Diagram 1,Request http auth,Medium,Not Started,,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.",,Generated,"Encrypt sections of Web API's configuration files that contain sensitive data. Refer: <a href=""https://aka.ms/tmtconfigmgmt#config-sensitive"">https://aka.ms/tmtconfigmgmt#config-sensitive</a>",Implementation
13,An adversary can gain access to sensitive data by sniffing traffic to Web API,Information Disclosure,Diagram 1,Request http auth,High,Not Started,,An adversary can gain access to sensitive data by sniffing traffic to Web API,,Generated,"Force all traffic to Web APIs over HTTPS connection. Refer: <a href=""https://aka.ms/tmtcommsec#webapi-https"">https://aka.ms/tmtcommsec#webapi-https</a>",Implementation
12,"An adversary may retrieve sensitive data (e.g, auth tokens) persisted in browser storage",Information Disclosure,Diagram 1,Request http auth,High,Not Started,,"An adversary may retrieve sensitive data (e.g, auth tokens) persisted in browser storage",,Generated,"Ensure that sensitive data relevant to Web API is not stored in browser's storage. Refer: <a href=""https://aka.ms/tmtdata#api-browser"">https://aka.ms/tmtdata#api-browser</a>",Implementation
11,An adversary can gain access to sensitive information from an API through error messages,Information Disclosure,Diagram 1,Request http auth,High,Not Started,,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names - Connection strings - Usernames - Passwords - SQL procedures - Details of dynamic SQL failures - Stack trace and lines of code - Variables stored in memory - Drive and folder locations - Application install points - Host configuration settings - Other internal application details ",,Generated,"Ensure that proper exception handling is done in ASP.NET Web API. Refer: <a href=""https://aka.ms/tmtxmgmt#exception"">https://aka.ms/tmtxmgmt#exception</a>",Implementation
10,An adversary may gain unauthorized access to Web API due to poor access control checks,Elevation of Privileges,Diagram 1,Request http auth,High,Not Started,,An adversary may gain unauthorized access to Web API due to poor access control checks,,Generated,"Implement proper authorization mechanism in ASP.NET Web API. Refer: <a href=""https://aka.ms/tmtauthz#authz-aspnet"">https://aka.ms/tmtauthz#authz-aspnet</a>",Implementation
